장소코드,위도,경도,유동인구 합
01-003,37.59916962,126.9595053,2895
01-004,37.60015896,126.9582798,13872
01-005,37.6006947,126.9587479,10509
01-008,37.61004751,126.9762637,5316
01-009,37.6072275,126.9587815,5637
01-016,37.57189586,127.0109399,62268
01-019,37.57427056,127.0190934,69288
01-020,37.57074463,127.0026234,77913
01-021,37.57596033,126.9992707,33354
01-028,37.58240786,126.9977465,24594
01-029,37.58186071,127.002294,137385
01-035,37.56874857,126.9851494,127209
01-037,37.5699696,126.9856875,87855
01-038,37.57083849,126.9956262,71025
01-039,37.57029119,126.9906187,159564
01-043,37.57271181,126.9828994,57864
01-047,37.57924228,126.9795274,32868
01-050,37.58519916,126.9713392,41502
01-052,37.5757986,126.971027,23067
01-054,37.57024959,126.9794916,162441
01-055,37.57070856,126.9618598,32307
01-057,37.56988723,126.9730328,68061
01-058,37.56997204,126.9713902,73605
01-059,37.57288825,126.9782896,73200
01-060,37.57513866,126.9574284,28650
01-063,37.56939647,126.9977058,25677
01-064,37.57084518,126.9985354,51126
01-066,37.57734778,126.9792589,61428
01-075,37.56867507,126.9934026,18204
01-077,37.57031951,126.985513,94959
01-079,37.56998507,126.9895927,275511
01-082,37.5703106,126.9855244,105177
01-084,37.56983328,126.9761578,128235
01-1205,37.57346674,127.000606,9051
01-1206,37.57326918,127.0028161,10533
01-1208,37.57266487,127.0059487,14901
01-1209,37.57364041,127.0051659,4143
01-1211,37.56966161,126.989699,78372
01-1212,37.56879642,126.9896767,39870
01-1232,37.57607382,126.9840764,65682
01-1234,37.57232349,126.9838443,67950
01-201,37.57946374,126.972856,14802
01-2026,37.58665955,126.9849516,8214
01-2030,37.58283058,126.9850035,13347
01-204,37.58052958,126.9867104,50904
01-2044,37.57830896,126.9893897,16659
01-2055,37.57494878,126.9748425,33726
01-2078,37.57245477,126.9750578,51915
01-2080,37.57191697,126.981631,39477
01-2084,37.5752878,126.9880267,13656
01-2086,37.57556953,126.9893588,12429
01-2095,37.56992741,126.9776621,153570
01-2099,37.57109373,126.9791631,47691
01-210,37.58425501,127.0009373,52860
01-2100,37.57138928,126.9789553,42783
01-2104,37.5721813,126.9872197,61656
01-2110,37.56866815,126.9904822,18204
01-2112,37.56960007,126.9919865,21699
01-2115,37.58788406,126.9996206,18669
01-212,37.58351681,127.0010151,193128
01-2124,37.57060385,126.9987651,56754
01-2127,37.57108851,127.010294,131124
01-213,37.58310456,126.9833355,235824
01-2131,37.57756583,127.0155406,14436
01-233,37.58024444,127.0040251,22422
01-247,37.57353305,126.9726431,36798
01-248,37.5739335,126.9731017,23571
01-276,37.57354852,126.9848465,16497
01-3010,37.5836379,126.9824904,828
01-3023,37.5814841,126.9845463,11241
01-3036,37.58090645,126.98863,4809
01-3068,37.57382446,127.0152955,6744
01-348,37.57144564,127.0056139,18516
01-362,37.57054748,127.0027505,15003
01-422,37.57399753,126.9846706,236139
01-805,37.5698983,126.9732703,26733
02-001,37.5651449,127.0139156,17370
02-002,37.56894757,127.0161068,20307
02-004,37.56396257,127.024526,3528
02-008,37.55985169,127.014506,21771
02-013,37.5582831,126.9731807,49716
02-016,37.55426469,126.9659812,30174
02-017,37.55577862,126.9701253,46092
02-038,37.56780517,127.0023796,19614
02-039,37.56606487,127.0065005,55035
02-043,37.55794322,126.9828399,3969
02-045,37.55979632,126.9824865,58989
02-049,37.56087393,126.9862523,120597
02-052,37.56026523,127.0057965,20550
02-054,37.5581183,127.0076473,16611
02-061,37.56562573,126.9772342,95751
02-062,37.55793223,126.9732421,82122
02-067,37.56397082,126.9817505,162195
02-069,37.56523092,126.9878798,28392
02-070,37.56376142,126.9877865,12456
02-072,37.56595904,126.9887302,16275
02-074,37.56722249,127.0080812,128418
02-084,37.56118858,126.9924847,88356
02-086,37.5661214,126.9908561,19095
02-091,37.56789244,127.0095326,26181
02-093,37.55997469,127.0184546,32232
02-096,37.56281088,126.9757786,91023
02-099,37.56083078,126.976032,77376
02-105,37.56525377,127.0140047,28050
02-1138,37.56512435,126.9776033,46908
02-1139,37.56495787,126.9781489,74163
02-1142,37.56421607,126.9788495,17775
02-1147,37.56715469,126.9779491,60099
02-1167,37.56704577,126.9872666,37179
02-1168,37.56823694,126.98433,64776
02-1169,37.56377063,126.9846623,245805
02-1170,37.56396835,126.984603,268596
02-1182,37.56412828,127.0023041,12033
02-1186,37.56298602,127.0004177,2937
02-1190,37.56436175,126.9947737,12459
02-1214,37.55841352,126.9695344,11205
02-1218,37.55951374,126.9727451,32961
02-1220,37.55653054,126.9747327,32919
02-1221,37.55662359,126.975071,40524
02-1225,37.56047923,126.9854087,30195
02-1227,37.55763752,126.9860584,28410
02-1230,37.56071034,127.0030175,3963
02-207,37.55833804,126.9732818,102015
02-209,37.56091091,126.9780004,167490
02-211,37.56003896,126.9771974,162828
02-214,37.55973137,126.9780957,152196
02-225,37.55629704,126.9779389,6060
02-236,37.56668578,126.9810344,26091
02-238,37.56533626,126.9802265,46734
02-244,37.56549527,126.9840389,54090
02-247,37.56451417,126.9831128,98754
02-251,37.56310169,126.982317,471879
02-252,37.56357141,126.9834991,362571
02-253,37.56421116,126.9855958,108582
02-254,37.56289652,126.9825575,128484
02-258,37.56202559,126.9839616,115440
02-260,37.56147485,126.9838332,126723
02-270,37.56555758,126.9735337,74436
02-271,37.56559376,126.9725144,37566
02-284,37.56273687,126.9734818,17919
02-291,37.56197919,126.976503,21705
02-3002,37.56520834,127.018284,14808
02-3053,37.55666752,126.9948544,2172
02-3062,37.55906166,126.9956032,3633
02-314,37.56253974,127.0073283,2520
02-334,37.56238009,126.9811836,90267
02-402,37.55900298,126.9772229,147111
02-407,37.56242273,126.9850881,233649
02-804,37.55768538,126.973868,37647
02-836,37.56792528,126.9784932,20541
02-848,37.56382127,126.9821714,309060
03-006,37.53471851,126.9605598,11835
03-008,37.5369595,126.9643645,8019
03-009,37.53532225,126.9534231,3822
03-015,37.54536119,126.975146,10101
03-016,37.5501219,126.9775932,15765
03-018,37.54499081,126.9667657,50685
03-019,37.54838195,126.9702271,3774
03-021,37.53333604,126.9944548,143916
03-022,37.53439473,126.9896997,58980
03-023,37.53900812,127.0034876,53223
03-030,37.54279059,126.9926418,5871
03-035,37.53215267,126.9556963,97248
03-037,37.53481054,126.9618032,24801
03-047,37.5426395,126.9709398,5712
03-048,37.55355688,126.9726344,199899
03-051,37.54633432,126.9803496,12738
03-054,37.5468536,126.9841449,6303
03-057,37.53666103,126.9870893,31008
03-059,37.53646218,126.9724164,12141
03-068,37.53200936,127.0091248,2418
03-069,37.54528535,127.0020574,1980
03-077,37.52045317,126.9789484,17322
03-080,37.51912888,126.9758556,22488
03-090,37.53587702,127.0061656,49650
03-092,37.53771253,127.0122968,2385
03-093,37.53169817,126.9706375,19755
03-094,37.5301313,126.9676495,46359
03-1002,37.53468192,126.9948441,82770
03-1020,37.52538837,126.9631443,9132
03-1039,37.55092491,126.9829353,3204
03-1048,37.53460581,126.9559563,3636
03-1052,37.54178119,126.9873482,4869
03-1060,37.53936462,126.9913526,15378
03-1070,37.53442132,126.9949268,60468
03-1080,37.55122275,126.9633071,12504
03-1084,37.54922926,126.9661413,71580
03-1241,37.54772452,127.0049446,9915
03-1248,37.5461494,126.9871307,1722
03-1262,37.54203563,126.9719552,63048
03-1265,37.53477842,126.9767052,10356
03-1276,37.53481068,126.9962114,29343
03-1277,37.53449824,126.9965551,25473
03-1285,37.53165381,127.0086316,1326
03-1300,37.52383459,126.9907698,1329
03-205,37.55340938,126.9743228,12138
03-401,37.5352055,127.0066724,24936
03-861,37.53995923,126.9653075,6582
03-863,37.53917917,126.9647186,6120
03-899,37.545032,126.9663238,61074
03-965,37.53746405,126.9935394,3270
04-004,37.56544867,127.0299173,55704
04-005,37.56370501,127.0359504,73830
04-007,37.55822767,127.0338705,65784
04-008,37.557189,127.0302734,38058
04-017,37.54338713,127.0142136,9954
04-018,37.54751947,127.0202928,12153
04-019,37.54803778,127.023036,28719
04-022,37.54277006,127.0421497,13446
04-026,37.54609819,127.0537292,15678
04-028,37.53787095,127.0581556,6579
04-033,37.54278376,127.0629484,12123
04-034,37.54806952,127.0456466,17571
04-046,37.56027638,127.049826,3315
04-054,37.54811114,127.0654959,44040
04-057,37.54993986,127.0552537,4590
04-060,37.55741489,127.0424942,32190
04-061,37.55855316,127.0318063,21453
04-065,37.56078647,127.0460391,27360
04-073,37.54832397,127.0650632,16059
04-076,37.53788464,127.0610069,4155
04-079,37.56935879,127.0475712,13548
04-1901,37.56146002,127.0368848,46134
04-2018,37.55634771,127.043119,32115
04-2026,37.55678606,127.0283885,68637
04-203,37.5617162,127.060855,26667
04-2058,37.54688604,127.0576008,6753
04-212,37.56061118,127.064672,6750
04-213,37.56096448,127.0660485,49071
04-214,37.56075603,127.0670358,7077
04-222,37.54534402,127.0540669,37299
04-223,37.54456933,127.0552196,25461
04-227,37.54532792,127.0576883,22692
04-237,37.5429299,127.0564059,21657
04-3004,37.54618601,127.0116531,642
04-419,37.54840935,127.0200322,26436
04-423,37.56131042,127.0329139,42693
05-002,37.53579063,127.066238,14631
05-003,37.53575415,127.0661819,8745
05-005,37.53429893,127.0724685,12591
05-009,37.53246312,127.0785218,10890
05-012,37.55440731,127.088268,26979
05-016,37.54529624,127.084588,13380
05-022,37.56915364,127.0796435,1839
05-025,37.56748547,127.0864446,10398
05-027,37.56437076,127.0868222,13857
05-036,37.53500906,127.093132,15831
05-039,37.55574502,127.0772053,4404
05-043,37.53282966,127.0862678,5598
05-046,37.55876456,127.0761833,13119
05-054,37.55246772,127.0717793,24042
05-056,37.55574547,127.0784163,32571
05-2007,37.55747196,127.077965,23295
05-2009,37.55712739,127.0788407,26370
05-201,37.5437046,127.0700095,38394
05-2023,37.53930273,127.0625733,19392
05-203,37.54312932,127.0679005,24381
05-2035,37.54815646,127.1074584,11835
05-2038,37.54434307,127.1048219,498
05-2057,37.54020223,127.0947099,21771
05-206,37.54295402,127.0708109,60873
05-223,37.54152712,127.0703986,44898
05-227,37.54028093,127.0677662,102597
05-228,37.54044971,127.0697444,59940
05-229,37.53983998,127.0712683,86214
05-233,37.53947407,127.0671426,71235
05-236,37.53809902,127.0825487,7854
05-243,37.53850962,127.0878619,37578
05-246,37.53726557,127.0854556,20955
05-250,37.53601218,127.0749252,25311
05-268,37.5379681,127.0830934,43617
05-406,37.56342615,127.0812081,41874
05-415,37.54819073,127.0721606,27414
05-429,37.55719125,127.0777873,28602
05-435,37.5561055,127.0795211,45222
05-442,37.5482901,127.0721933,29361
06-009,37.57608774,127.0384512,33093
06-011,37.59135453,127.0499633,15741
06-013,37.57618187,127.0556921,10035
06-018,37.57875777,127.0499422,8976
06-019,37.57868287,127.0495922,34953
06-020,37.5833528,127.0532691,21675
06-024,37.59328366,127.0579446,13158
06-027,37.5896097,127.0604933,38034
06-028,37.58275995,127.0682218,20064
06-030,37.59611158,127.0679874,1425
06-032,37.57399345,127.0717386,13080
06-035,37.56868816,127.0696876,13365
06-042,37.57501108,127.0501483,8910
06-044,37.57632883,127.045954,4023
06-048,37.57219797,127.0476822,4314
06-051,37.56940088,127.0573059,12903
06-063,37.57940631,127.029974,3516
06-068,37.57868582,127.0410444,32688
06-085,37.58085198,127.068506,10557
06-093,37.58809902,127.0373909,9285
06-097,37.59169994,127.0403113,7596
06-101,37.56668578,127.0535594,59670
06-102,37.58290218,127.040979,5304
06-104,37.57932808,127.0729404,3411
06-111,37.58261613,127.0445944,36747
06-113,37.57365167,127.0380524,1353
06-115,37.58870625,127.056802,3654
06-2003,37.59613873,127.0611813,63669
06-2007,37.59280474,127.0657073,7404
06-2010,37.59251562,127.0690287,8163
06-202,37.57798361,127.025713,10743
06-2025,37.5845875,127.0365983,3774
06-2044,37.57086637,127.0269264,5286
06-2053,37.58383513,127.0527422,10140
06-2059,37.57442401,127.0499746,6522
06-208,37.5784995,127.0336652,6849
06-224,37.57913077,127.0392499,96225
06-225,37.57932835,127.0413871,70068
06-248,37.57667388,127.0253225,14922
06-252,37.57598884,127.0263843,12735
06-260,37.57563172,127.0311664,5169
06-261,37.57517066,127.032078,3558
06-266,37.57452263,127.0266864,9639
06-278,37.57365158,127.0303317,4437
06-287,37.56300621,127.0644496,12936
06-3065,37.58620545,127.0607059,7188
06-807,37.56613874,127.0538832,56811
07-006,37.57802269,127.0904595,7002
07-009,37.58089599,127.0798613,2583
07-014,37.59063842,127.0976435,11520
07-020,37.58286522,127.0933104,11364
07-027,37.58139669,127.0886522,32391
07-029,37.58774284,127.0855177,12075
07-033,37.59060929,127.0775563,10575
07-035,37.59829056,127.0769632,19911
07-036,37.59321367,127.0741497,16788
07-045,37.6052366,127.097807,13218
07-051,37.60267301,127.077396,9348
07-053,37.60791938,127.0765384,7383
07-057,37.6104666,127.0761898,9273
07-059,37.61219531,127.0771765,61287
07-063,37.6158585,127.0778108,9162
07-065,37.61534552,127.0755857,9870
07-072,37.58395934,127.0798349,6660
07-079,37.59228826,127.0837296,11769
07-080,37.59504557,127.0942497,10923
07-081,37.59477603,127.0861677,70458
07-085,37.58121898,127.0843181,14055
07-092,37.5970267,127.0882465,44064
07-100,37.59761839,127.1007754,12039
07-1105,37.61718968,127.086777,3228
07-1108,37.61815145,127.0888042,4200
07-1126,37.60423315,127.0741151,2907
07-1131,37.60214085,127.0796336,33012
07-1143,37.59410556,127.0833676,8217
07-1144,37.5939622,127.0834712,11454
07-1173,37.58148849,127.0807371,12453
07-1175,37.59971577,127.0783159,12819
07-121,37.60146663,127.0786793,26775
07-3001,37.59645519,127.0784693,2865
07-3027,37.58862286,127.0956524,5367
07-3058,37.58613401,127.0942218,15291
07-3064,37.58832741,127.0935499,984
07-3066,37.58718278,127.0946847,3273
07-440,37.58913131,127.0879578,72699
07-442,37.58984331,127.0903157,27258
07-810,37.58341869,127.0867934,13479
07-822,37.57998655,127.0880694,18009
07-824,37.57924461,127.0865047,49743
08-002,37.59303555,126.9972077,5949
08-008,37.58895653,127.0168059,17508
08-010,37.58461163,127.0198295,19845
08-013,37.60525769,127.0115742,32607
08-015,37.60319443,127.013742,7578
08-019,37.59454742,127.0162568,22410
08-022,37.60529381,127.0267612,26859
08-023,37.60230839,127.024218,35460
08-024,37.60221873,127.025363,43419
08-027,37.60155946,127.0328461,65307
08-028,37.60064412,127.0332996,25944
08-030,37.59519696,127.0360085,19290
08-032,37.61544929,127.0511973,8049
08-034,37.60242848,127.042178,16626
08-036,37.60833389,127.0526694,5274
08-039,37.6115611,127.0584843,13419
08-044,37.61482506,127.0587603,6228
08-047,37.61046802,127.022673,3243
08-053,37.60694385,127.0613853,9327
08-061,37.61384345,127.0442517,4317
08-064,37.61914468,127.0446369,8385
08-072,37.60969393,126.9969954,1830
08-076,37.60668027,127.0365059,31662
08-079,37.59801758,127.0218167,10722
08-081,37.58902934,127.0190583,2301
08-085,37.6092882,127.0661354,20556
08-091,37.58664324,127.0301631,37023
08-096,37.60194773,127.01984,9540
08-107,37.61194183,127.0081671,6258
08-110,37.61105099,127.0634517,6960
08-114,37.60549833,127.0462951,22353
08-122,37.60520609,127.0358341,8289
08-2001,37.6198914,127.0534403,6561
08-2037,37.59728515,127.0390505,7392
08-204,37.59458693,127.0188381,6189
08-208,37.59352849,127.0183311,183168
08-2101,37.5869929,127.0158014,2028
08-211,37.59316567,127.0158786,22305
08-214,37.59285341,127.0173322,119325
08-3031,37.61276535,127.0569626,2778
08-3037,37.61351965,127.0577687,2388
08-3061,37.60218237,127.0429399,5163
08-807,37.60062352,127.0362896,14874
09-002,37.6480686,127.0140554,22812
09-004,37.64276267,127.0109642,13479
09-007,37.64253758,127.0163721,17817
09-010,37.66062588,127.0136854,11205
09-012,37.62266165,127.0197266,11313
09-014,37.62228803,127.0279331,12678
09-016,37.61778365,127.0214898,14598
09-019,37.61479021,127.0299789,59070
09-020,37.6119282,127.0303785,56115
09-022,37.63403376,127.0144448,26367
09-027,37.63218355,127.0238275,45153
09-029,37.63872786,127.0263479,51195
09-039,37.63265099,127.0390598,10146
09-043,37.62875289,127.0439135,1101
09-050,37.63718637,127.0240793,126267
09-055,37.61742336,127.0291405,10911
09-060,37.64456636,127.0230536,5889
09-067,37.62445925,127.0268059,55326
09-074,37.64052759,127.0260638,32118
09-2004,37.64617578,127.0075307,7218
09-2032,37.63637241,127.0280782,14532
09-209,37.62439548,127.027815,48933
09-210,37.62395514,127.0279567,28845
09-215,37.62275708,127.0279949,9834
09-219,37.61515345,127.0292266,72090
09-226,37.61218753,127.0334333,12828
09-3035,37.62554207,127.0346765,2697
09-3055,37.62656405,127.0340402,3102
09-3068,37.64325813,127.0034563,1101
09-3072,37.64231345,127.0057578,822
09-3125,37.63935801,127.0240962,7563
09-3127,37.63967794,127.0235595,9636
09-3146,37.63863997,127.0244342,51864
10-008,37.64440033,127.0324269,9450
10-013,37.64562574,127.0501676,10047
10-017,37.65367215,127.0501898,30849
10-018,37.6536261,127.0500657,16617
10-021,37.68315405,127.0457439,9681
10-022,37.68747855,127.0434662,1578
10-027,37.67221009,127.043957,10908
10-028,37.67182604,127.0466031,10401
10-029,37.67619865,127.0446994,7458
10-033,37.66129706,127.0349164,8616
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
