조사지점코드,조사요일,시간대,유동인구수,년도
01-003,금,07시-08시,21,2015
01-003,금,08시-09시,36,2015
01-003,금,09시-10시,27,2015
01-003,금,10시-11시,51,2015
01-003,금,11시-12시,36,2015
01-003,금,12시-13시,48,2015
01-003,금,13시-14시,30,2015
01-003,금,14시-15시,21,2015
01-003,금,15시-16시,30,2015
01-003,금,16시-17시,39,2015
01-003,금,17시-18시,30,2015
01-003,금,18시-19시,48,2015
01-003,금,19시-20시,21,2015
01-003,금,20시-21시,12,2015
01-003,수,07시-08시,33,2015
01-003,수,08시-09시,51,2015
01-003,수,09시-10시,36,2015
01-003,수,10시-11시,57,2015
01-003,수,11시-12시,24,2015
01-003,수,12시-13시,39,2015
01-003,수,13시-14시,33,2015
01-003,수,14시-15시,18,2015
01-003,수,15시-16시,30,2015
01-003,수,16시-17시,36,2015
01-003,수,17시-18시,42,2015
01-003,수,18시-19시,48,2015
01-003,수,19시-20시,45,2015
01-003,수,20시-21시,63,2015
01-003,월,07시-08시,36,2015
01-003,월,08시-09시,51,2015
01-003,월,09시-10시,33,2015
01-003,월,10시-11시,60,2015
01-003,월,11시-12시,30,2015
01-003,월,12시-13시,36,2015
01-003,월,13시-14시,27,2015
01-003,월,14시-15시,18,2015
01-003,월,15시-16시,33,2015
01-003,월,16시-17시,30,2015
01-003,월,17시-18시,48,2015
01-003,월,18시-19시,54,2015
01-003,월,19시-20시,48,2015
01-003,월,20시-21시,72,2015
01-003,토,07시-08시,51,2015
01-003,토,08시-09시,69,2015
01-003,토,09시-10시,27,2015
01-003,토,10시-11시,81,2015
01-003,토,11시-12시,54,2015
01-003,토,12시-13시,21,2015
01-003,토,13시-14시,51,2015
01-003,토,14시-15시,42,2015
01-003,토,15시-16시,27,2015
01-003,토,16시-17시,54,2015
01-003,토,17시-18시,45,2015
01-003,토,18시-19시,48,2015
01-003,토,19시-20시,57,2015
01-003,토,20시-21시,57,2015
01-003,화,07시-08시,36,2015
01-003,화,08시-09시,63,2015
01-003,화,09시-10시,48,2015
01-003,화,10시-11시,45,2015
01-003,화,11시-12시,21,2015
01-003,화,12시-13시,27,2015
01-003,화,13시-14시,33,2015
01-003,화,14시-15시,18,2015
01-003,화,15시-16시,27,2015
01-003,화,16시-17시,27,2015
01-003,화,17시-18시,63,2015
01-003,화,18시-19시,42,2015
01-003,화,19시-20시,66,2015
01-003,화,20시-21시,114,2015
01-004,금,07시-08시,54,2015
01-004,금,08시-09시,303,2015
01-004,금,09시-10시,195,2015
01-004,금,10시-11시,195,2015
01-004,금,11시-12시,180,2015
01-004,금,12시-13시,132,2015
01-004,금,13시-14시,138,2015
01-004,금,14시-15시,183,2015
01-004,금,15시-16시,189,2015
01-004,금,16시-17시,213,2015
01-004,금,17시-18시,147,2015
01-004,금,18시-19시,180,2015
01-004,금,19시-20시,123,2015
01-004,금,20시-21시,129,2015
01-004,수,07시-08시,99,2015
01-004,수,08시-09시,327,2015
01-004,수,09시-10시,168,2015
01-004,수,10시-11시,309,2015
01-004,수,11시-12시,165,2015
01-004,수,12시-13시,195,2015
01-004,수,13시-14시,141,2015
01-004,수,14시-15시,168,2015
01-004,수,15시-16시,174,2015
01-004,수,16시-17시,207,2015
01-004,수,17시-18시,189,2015
01-004,수,18시-19시,213,2015
01-004,수,19시-20시,141,2015
01-004,수,20시-21시,147,2015
01-004,월,07시-08시,123,2015
01-004,월,08시-09시,276,2015
01-004,월,09시-10시,162,2015
01-004,월,10시-11시,294,2015
01-004,월,11시-12시,261,2015
01-004,월,12시-13시,222,2015
01-004,월,13시-14시,174,2015
01-004,월,14시-15시,174,2015
01-004,월,15시-16시,192,2015
01-004,월,16시-17시,219,2015
01-004,월,17시-18시,147,2015
01-004,월,18시-19시,222,2015
01-004,월,19시-20시,144,2015
01-004,월,20시-21시,162,2015
01-004,토,07시-08시,111,2015
01-004,토,08시-09시,159,2015
01-004,토,09시-10시,159,2015
01-004,토,10시-11시,141,2015
01-004,토,11시-12시,192,2015
01-004,토,12시-13시,336,2015
01-004,토,13시-14시,330,2015
01-004,토,14시-15시,150,2015
01-004,토,15시-16시,240,2015
01-004,토,16시-17시,234,2015
01-004,토,17시-18시,501,2015
01-004,토,18시-19시,360,2015
01-004,토,19시-20시,201,2015
01-004,토,20시-21시,171,2015
01-004,화,07시-08시,162,2015
01-004,화,08시-09시,303,2015
01-004,화,09시-10시,159,2015
01-004,화,10시-11시,363,2015
01-004,화,11시-12시,255,2015
01-004,화,12시-13시,222,2015
01-004,화,13시-14시,168,2015
01-004,화,14시-15시,162,2015
01-004,화,15시-16시,174,2015
01-004,화,16시-17시,156,2015
01-004,화,17시-18시,204,2015
01-004,화,18시-19시,183,2015
01-004,화,19시-20시,135,2015
01-004,화,20시-21시,165,2015
01-005,금,07시-08시,69,2015
01-005,금,08시-09시,105,2015
01-005,금,09시-10시,159,2015
01-005,금,10시-11시,144,2015
01-005,금,11시-12시,87,2015
01-005,금,12시-13시,99,2015
01-005,금,13시-14시,135,2015
01-005,금,14시-15시,84,2015
01-005,금,15시-16시,153,2015
01-005,금,16시-17시,159,2015
01-005,금,17시-18시,201,2015
01-005,금,18시-19시,153,2015
01-005,금,19시-20시,165,2015
01-005,금,20시-21시,162,2015
01-005,수,07시-08시,57,2015
01-005,수,08시-09시,129,2015
01-005,수,09시-10시,159,2015
01-005,수,10시-11시,180,2015
01-005,수,11시-12시,81,2015
01-005,수,12시-13시,114,2015
01-005,수,13시-14시,126,2015
01-005,수,14시-15시,99,2015
01-005,수,15시-16시,153,2015
01-005,수,16시-17시,189,2015
01-005,수,17시-18시,222,2015
01-005,수,18시-19시,168,2015
01-005,수,19시-20시,201,2015
01-005,수,20시-21시,210,2015
01-005,월,07시-08시,72,2015
01-005,월,08시-09시,111,2015
01-005,월,09시-10시,150,2015
01-005,월,10시-11시,177,2015
01-005,월,11시-12시,126,2015
01-005,월,12시-13시,129,2015
01-005,월,13시-14시,162,2015
01-005,월,14시-15시,108,2015
01-005,월,15시-16시,189,2015
01-005,월,16시-17시,198,2015
01-005,월,17시-18시,168,2015
01-005,월,18시-19시,174,2015
01-005,월,19시-20시,201,2015
01-005,월,20시-21시,237,2015
01-005,토,07시-08시,93,2015
01-005,토,08시-09시,135,2015
01-005,토,09시-10시,192,2015
01-005,토,10시-11시,135,2015
01-005,토,11시-12시,126,2015
01-005,토,12시-13시,126,2015
01-005,토,13시-14시,165,2015
01-005,토,14시-15시,78,2015
01-005,토,15시-16시,171,2015
01-005,토,16시-17시,192,2015
01-005,토,17시-18시,228,2015
01-005,토,18시-19시,156,2015
01-005,토,19시-20시,171,2015
01-005,토,20시-21시,126,2015
01-005,화,07시-08시,57,2015
01-005,화,08시-09시,138,2015
01-005,화,09시-10시,165,2015
01-005,화,10시-11시,189,2015
01-005,화,11시-12시,123,2015
01-005,화,12시-13시,108,2015
01-005,화,13시-14시,150,2015
01-005,화,14시-15시,126,2015
01-005,화,15시-16시,171,2015
01-005,화,16시-17시,174,2015
01-005,화,17시-18시,216,2015
01-005,화,18시-19시,141,2015
01-005,화,19시-20시,213,2015
01-005,화,20시-21시,279,2015
01-008,금,07시-08시,15,2015
01-008,금,08시-09시,36,2015
01-008,금,09시-10시,90,2015
01-008,금,10시-11시,54,2015
01-008,금,11시-12시,51,2015
01-008,금,12시-13시,87,2015
01-008,금,13시-14시,93,2015
01-008,금,14시-15시,93,2015
01-008,금,15시-16시,99,2015
01-008,금,16시-17시,57,2015
01-008,금,17시-18시,90,2015
01-008,금,18시-19시,138,2015
01-008,금,19시-20시,72,2015
01-008,금,20시-21시,99,2015
01-008,수,07시-08시,27,2015
01-008,수,08시-09시,36,2015
01-008,수,09시-10시,99,2015
01-008,수,10시-11시,75,2015
01-008,수,11시-12시,63,2015
01-008,수,12시-13시,105,2015
01-008,수,13시-14시,81,2015
01-008,수,14시-15시,117,2015
01-008,수,15시-16시,99,2015
01-008,수,16시-17시,69,2015
01-008,수,17시-18시,72,2015
01-008,수,18시-19시,207,2015
01-008,수,19시-20시,36,2015
01-008,수,20시-21시,87,2015
01-008,월,07시-08시,27,2015
01-008,월,08시-09시,33,2015
01-008,월,09시-10시,84,2015
01-008,월,10시-11시,105,2015
01-008,월,11시-12시,105,2015
01-008,월,12시-13시,117,2015
01-008,월,13시-14시,72,2015
01-008,월,14시-15시,114,2015
01-008,월,15시-16시,111,2015
01-008,월,16시-17시,63,2015
01-008,월,17시-18시,90,2015
01-008,월,18시-19시,216,2015
01-008,월,19시-20시,45,2015
01-008,월,20시-21시,96,2015
01-008,토,07시-08시,15,2015
01-008,토,08시-09시,21,2015
01-008,토,09시-10시,57,2015
01-008,토,10시-11시,30,2015
01-008,토,11시-12시,36,2015
01-008,토,12시-13시,63,2015
01-008,토,13시-14시,63,2015
01-008,토,14시-15시,66,2015
01-008,토,15시-16시,69,2015
01-008,토,16시-17시,48,2015
01-008,토,17시-18시,54,2015
01-008,토,18시-19시,126,2015
01-008,토,19시-20시,36,2015
01-008,토,20시-21시,36,2015
01-008,화,07시-08시,33,2015
01-008,화,08시-09시,39,2015
01-008,화,09시-10시,93,2015
01-008,화,10시-11시,57,2015
01-008,화,11시-12시,72,2015
01-008,화,12시-13시,105,2015
01-008,화,13시-14시,90,2015
01-008,화,14시-15시,84,2015
01-008,화,15시-16시,84,2015
01-008,화,16시-17시,69,2015
01-008,화,17시-18시,84,2015
01-008,화,18시-19시,168,2015
01-008,화,19시-20시,39,2015
01-008,화,20시-21시,54,2015
01-009,금,07시-08시,21,2015
01-009,금,08시-09시,54,2015
01-009,금,09시-10시,57,2015
01-009,금,10시-11시,60,2015
01-009,금,11시-12시,66,2015
01-009,금,12시-13시,78,2015
01-009,금,13시-14시,90,2015
01-009,금,14시-15시,48,2015
01-009,금,15시-16시,69,2015
01-009,금,16시-17시,90,2015
01-009,금,17시-18시,102,2015
01-009,금,18시-19시,105,2015
01-009,금,19시-20시,48,2015
01-009,금,20시-21시,36,2015
01-009,수,07시-08시,27,2015
01-009,수,08시-09시,57,2015
01-009,수,09시-10시,69,2015
01-009,수,10시-11시,66,2015
01-009,수,11시-12시,66,2015
01-009,수,12시-13시,102,2015
01-009,수,13시-14시,99,2015
01-009,수,14시-15시,57,2015
01-009,수,15시-16시,87,2015
01-009,수,16시-17시,96,2015
01-009,수,17시-18시,135,2015
01-009,수,18시-19시,135,2015
01-009,수,19시-20시,51,2015
01-009,수,20시-21시,69,2015
01-009,월,07시-08시,33,2015
01-009,월,08시-09시,57,2015
01-009,월,09시-10시,60,2015
01-009,월,10시-11시,72,2015
01-009,월,11시-12시,84,2015
01-009,월,12시-13시,87,2015
01-009,월,13시-14시,102,2015
01-009,월,14시-15시,69,2015
01-009,월,15시-16시,78,2015
01-009,월,16시-17시,90,2015
01-009,월,17시-18시,114,2015
01-009,월,18시-19시,138,2015
01-009,월,19시-20시,57,2015
01-009,월,20시-21시,72,2015
01-009,토,07시-08시,33,2015
01-009,토,08시-09시,90,2015
01-009,토,09시-10시,87,2015
01-009,토,10시-11시,87,2015
01-009,토,11시-12시,102,2015
01-009,토,12시-13시,120,2015
01-009,토,13시-14시,99,2015
01-009,토,14시-15시,72,2015
01-009,토,15시-16시,111,2015
01-009,토,16시-17시,105,2015
01-009,토,17시-18시,66,2015
01-009,토,18시-19시,144,2015
01-009,토,19시-20시,75,2015
01-009,토,20시-21시,66,2015
01-009,화,07시-08시,45,2015
01-009,화,08시-09시,57,2015
01-009,화,09시-10시,63,2015
01-009,화,10시-11시,72,2015
01-009,화,11시-12시,72,2015
01-009,화,12시-13시,96,2015
01-009,화,13시-14시,123,2015
01-009,화,14시-15시,81,2015
01-009,화,15시-16시,75,2015
01-009,화,16시-17시,108,2015
01-009,화,17시-18시,135,2015
01-009,화,18시-19시,141,2015
01-009,화,19시-20시,57,2015
01-009,화,20시-21시,102,2015
01-016,금,07시-08시,348,2015
01-016,금,08시-09시,597,2015
01-016,금,09시-10시,525,2015
01-016,금,10시-11시,678,2015
01-016,금,11시-12시,702,2015
01-016,금,12시-13시,993,2015
01-016,금,13시-14시,900,2015
01-016,금,14시-15시,774,2015
01-016,금,15시-16시,873,2015
01-016,금,16시-17시,990,2015
01-016,금,17시-18시,870,2015
01-016,금,18시-19시,1260,2015
01-016,금,19시-20시,1344,2015
01-016,금,20시-21시,1101,2015
01-016,수,07시-08시,372,2015
01-016,수,08시-09시,567,2015
01-016,수,09시-10시,543,2015
01-016,수,10시-11시,759,2015
01-016,수,11시-12시,681,2015
01-016,수,12시-13시,1074,2015
01-016,수,13시-14시,906,2015
01-016,수,14시-15시,765,2015
01-016,수,15시-16시,864,2015
01-016,수,16시-17시,927,2015
01-016,수,17시-18시,825,2015
01-016,수,18시-19시,1215,2015
01-016,수,19시-20시,1422,2015
01-016,수,20시-21시,1254,2015
01-016,월,07시-08시,381,2015
01-016,월,08시-09시,564,2015
01-016,월,09시-10시,513,2015
01-016,월,10시-11시,714,2015
01-016,월,11시-12시,687,2015
01-016,월,12시-13시,1080,2015
01-016,월,13시-14시,918,2015
01-016,월,14시-15시,813,2015
01-016,월,15시-16시,885,2015
01-016,월,16시-17시,951,2015
01-016,월,17시-18시,852,2015
01-016,월,18시-19시,1221,2015
01-016,월,19시-20시,1380,2015
01-016,월,20시-21시,1266,2015
01-016,토,07시-08시,303,2015
01-016,토,08시-09시,690,2015
01-016,토,09시-10시,522,2015
01-016,토,10시-11시,777,2015
01-016,토,11시-12시,789,2015
01-016,토,12시-13시,1212,2015
01-016,토,13시-14시,960,2015
01-016,토,14시-15시,873,2015
01-016,토,15시-16시,978,2015
01-016,토,16시-17시,972,2015
01-016,토,17시-18시,834,2015
01-016,토,18시-19시,1263,2015
01-016,토,19시-20시,1236,2015
01-016,토,20시-21시,1005,2015
01-016,화,07시-08시,423,2015
01-016,화,08시-09시,543,2015
01-016,화,09시-10시,528,2015
01-016,화,10시-11시,798,2015
01-016,화,11시-12시,741,2015
01-016,화,12시-13시,1239,2015
01-016,화,13시-14시,1020,2015
01-016,화,14시-15시,888,2015
01-016,화,15시-16시,960,2015
01-016,화,16시-17시,1026,2015
01-016,화,17시-18시,891,2015
01-016,화,18시-19시,1275,2015
01-016,화,19시-20시,1599,2015
01-016,화,20시-21시,1569,2015
01-019,금,07시-08시,540,2015
01-019,금,08시-09시,864,2015
01-019,금,09시-10시,843,2015
01-019,금,10시-11시,822,2015
01-019,금,11시-12시,1164,2015
01-019,금,12시-13시,1266,2015
01-019,금,13시-14시,1014,2015
01-019,금,14시-15시,867,2015
01-019,금,15시-16시,633,2015
01-019,금,16시-17시,759,2015
01-019,금,17시-18시,1089,2015
01-019,금,18시-19시,819,2015
01-019,금,19시-20시,1422,2015
01-019,금,20시-21시,1320,2015
01-019,수,07시-08시,513,2015
01-019,수,08시-09시,948,2015
01-019,수,09시-10시,951,2015
01-019,수,10시-11시,876,2015
01-019,수,11시-12시,1155,2015
01-019,수,12시-13시,1362,2015
01-019,수,13시-14시,1122,2015
01-019,수,14시-15시,966,2015
01-019,수,15시-16시,627,2015
01-019,수,16시-17시,768,2015
01-019,수,17시-18시,1167,2015
01-019,수,18시-19시,780,2015
01-019,수,19시-20시,1371,2015
01-019,수,20시-21시,1143,2015
01-019,월,07시-08시,522,2015
01-019,월,08시-09시,945,2015
01-019,월,09시-10시,897,2015
01-019,월,10시-11시,882,2015
01-019,월,11시-12시,1143,2015
