조사지점코드,위도,경도
01-001,37.60531385,126.9665887
01-002,37.60805166,126.9572183
01-003,37.59916962,126.9595053
01-004,37.60015896,126.9582798
01-005,37.6006947,126.9587479
01-006,37.60562927,126.9665957
01-007,37.60911367,126.9735243
01-008,37.61004751,126.9762637
01-009,37.6072275,126.9587815
01-010,37.59831268,126.9614424
01-011,37.5694007,127.0088787
01-012,37.56961047,127.0134832
01-013,37.57096137,127.0048166
01-014,37.57531708,127.0203363
01-015,37.57095835,127.0184463
01-016,37.57189586,127.0109399
01-017,37.57173512,127.0154249
01-018,37.57201163,127.0129307
01-019,37.57427056,127.0190934
01-020,37.57074463,127.0026234
01-021,37.57596033,126.9992707
01-022,37.570502,126.9963213
01-023,37.56935874,126.9996307
01-024,37.56861952,126.9964031
01-025,37.57422734,126.9978562
01-026,37.58350789,126.998898
01-027,37.57509763,127.001671
01-028,37.58240786,126.9977465
01-029,37.58186071,127.002294
01-030,37.5746294,127.0059792
01-031,37.570173,126.9915486
01-032,37.56934725,126.9887637
01-033,37.56893018,126.9874109
01-034,37.56876908,126.9843907
01-035,37.56874857,126.9851494
01-036,37.57030969,126.9812341
01-037,37.5699696,126.9856875
01-038,37.57083849,126.9956262
01-039,37.57029119,126.9906187
01-040,37.57369067,127.0230519
01-041,37.57677128,126.98555
01-042,37.58663694,126.9865144
01-043,37.57271181,126.9828994
01-044,37.5870567,126.9694341
01-045,37.57656617,126.984749
01-046,37.57597061,126.9804664
01-047,37.57924228,126.9795274
01-048,37.5765205,126.9742549
01-049,37.58128577,126.9710081
01-050,37.58519916,126.9713392
01-051,37.57607631,126.9708421
01-052,37.5757986,126.971027
01-053,37.56976953,126.9760795
01-054,37.57024959,126.9794916
01-055,37.57070856,126.9618598
01-056,37.57347648,126.9765042
01-057,37.56988723,126.9730328
01-058,37.56997204,126.9713902
01-059,37.57288825,126.9782896
01-060,37.57513866,126.9574284
01-061,37.57611358,126.968917
01-062,37.56998287,127.0020449
01-063,37.56939647,126.9977058
01-064,37.57084518,126.9985354
01-065,37.57071331,126.9936242
01-066,37.57734778,126.9792589
01-067,37.57748746,126.9892083
01-068,37.56936548,126.9700288
01-075,37.56867507,126.9934026
01-076,37.56818135,126.9904548
01-077,37.57031951,126.985513
01-078,37.56911792,126.9872386
01-079,37.56998507,126.9895927
01-080,37.57072112,126.9945411
01-081,37.57022828,126.9864311
01-082,37.5703106,126.9855244
01-083,37.56849328,126.9879489
01-084,37.56983328,126.9761578
01-096,37.57611389,126.9961327
01-1201,37.57451052,126.9783353
01-1202,37.57256019,126.9778639
01-1203,37.57080964,126.9796538
01-1204,37.56917668,126.9804571
01-1205,37.57346674,127.000606
01-1206,37.57326918,127.0028161
01-1207,37.57419813,126.9786792
01-1208,37.57266487,127.0059487
01-1209,37.57364041,127.0051659
01-1210,37.57136825,126.9964681
01-1211,37.56966161,126.989699
01-1212,37.56879642,126.9896767
01-1231,37.57488382,126.9798246
01-1232,37.57607382,126.9840764
01-1234,37.57232349,126.9838443
01-1237,37.57376879,126.9874133
01-2007,37.58816171,126.972159
01-201,37.57946374,126.972856
01-2010,37.58565219,126.9716274
01-2011,37.58535804,126.9719937
01-2012,37.58471321,126.9724442
01-2016,37.58399769,126.9699518
01-202,37.57815522,126.9726249
01-2021,37.58439708,126.9806685
01-2022,37.58386543,126.9806644
01-2023,37.58499343,126.9819058
01-2024,37.58491459,126.9821673
01-2025,37.58670163,126.9835583
01-2026,37.58665955,126.9849516
01-2027,37.58229779,126.9817274
01-2028,37.58213532,126.9816957
01-2029,37.58257881,126.9850636
01-203,37.5773656,126.9719678
01-2030,37.58283058,126.9850035
01-2031,37.58134617,126.9707016
01-2032,37.57623653,126.9654624
01-2033,37.57593041,126.9654892
01-2034,37.5764098,126.9677581
01-2035,37.57648999,126.9686854
01-2036,37.5788583,126.9736907
01-2037,37.57874383,126.973998
01-2038,37.57988897,126.9813753
01-2039,37.57988926,126.9814092
01-204,37.58052958,126.9867104
01-2040,37.57953559,126.9832368
01-2042,37.57940467,126.9868728
01-2043,37.5790781,126.9866169
01-2044,37.57830896,126.9893897
01-2045,37.57634432,126.991454
01-2046,37.57480324,126.9705426
01-2047,37.57463699,126.9711109
01-2049,37.57503918,126.9728035
01-2050,37.57608929,126.9733665
01-2051,37.57553873,126.9732608
01-2053,37.57391287,126.9738379
01-2054,37.57492175,126.9748429
01-2055,37.57494878,126.9748425
01-2056,37.57625789,126.9751416
01-2057,37.57500834,126.9754757
01-2058,37.57430669,126.9756098
01-2059,37.57399078,126.9755462
01-206,37.57888213,126.9868799
01-2060,37.57602907,126.9768089
01-2061,37.57542458,126.9787983
01-2062,37.5745918,126.9783569
01-2063,37.57528454,126.9792757
01-2064,37.57610606,126.979457
01-2067,37.57781504,126.9822413
01-2068,37.57618168,126.9829994
01-2069,37.57656027,126.9851113
01-2070,37.57752275,126.98597
01-2071,37.57717562,126.9896201
01-2073,37.57615691,126.9958944
01-2074,37.57415788,126.9792345
01-2075,37.57416631,126.9791664
01-2077,37.57347827,126.9787909
01-2078,37.57245477,126.9750578
01-2079,37.57254437,126.975
01-208,37.5775467,126.9866603
01-2080,37.57191697,126.981631
01-2081,37.57153321,126.9810136
01-2082,37.57310389,126.9834375
01-2083,37.57531352,126.9857735
01-2084,37.5752878,126.9880267
01-2085,37.57505502,126.9903054
01-2086,37.57556953,126.9893588
01-2087,37.57179469,126.9634409
01-2088,37.57141097,126.963865
01-2089,37.56916731,126.9669412
01-209,37.58496627,127.0008712
01-2090,37.56961718,126.966867
01-2091,37.56748217,126.9679493
01-2092,37.56988698,126.9740403
01-2093,37.5704179,126.9760366
01-2094,37.57029705,126.9756081
01-2095,37.56992741,126.9776621
01-2096,37.56996012,126.9783182
01-2097,37.56979034,126.972253
01-2098,37.56917347,126.9790422
01-2099,37.57109373,126.9791631
01-210,37.58425501,127.0009373
01-2100,37.57138928,126.9789553
01-2101,37.56986745,126.9811495
01-2102,37.57187277,126.982775
01-2103,37.56946197,126.9832379
01-2104,37.5721813,126.9872197
01-2105,37.57153602,126.9876247
01-2106,37.57273845,126.9902008
01-2107,37.57265379,126.9897831
01-2108,37.57178063,126.991991
01-2109,37.57134615,126.9917592
01-211,37.58359445,127.0006065
01-2110,37.56866815,126.9904822
01-2111,37.56966371,126.9920535
01-2112,37.56960007,126.9919865
01-2113,37.58691902,126.9963273
01-2114,37.58670414,126.9964887
01-2115,37.58788406,126.9996206
01-2116,37.58773119,126.9996567
01-2117,37.58391054,126.9996285
01-2118,37.57883771,126.9964471
01-2119,37.57977561,127.0018576
01-212,37.58351681,127.0010151
01-2120,37.57607323,126.9998353
01-2122,37.57437879,127.001907
01-2123,37.57338281,127.006675
01-2124,37.57060385,126.9987651
01-2125,37.56977477,126.9976894
01-2126,37.57003425,127.0017273
01-2127,37.57108851,127.010294
01-2128,37.57014878,127.0099781
01-2129,37.57957432,127.0165217
01-213,37.58310456,126.9833355
01-2130,37.57733045,127.0154078
01-2131,37.57756583,127.0155406
01-214,37.58320923,127.0030006
01-215,37.58361997,127.0046934
01-216,37.58285853,127.0030845
01-217,37.58230495,126.9994236
01-218,37.5816115,126.9984026
01-219,37.58248217,127.0011988
01-220,37.58269944,127.0023847
01-221,37.58161756,127.0012443
01-222,37.58270903,127.0013882
01-223,37.5822527,127.0028322
01-224,37.58206886,127.0034687
01-225,37.58208446,127.0042497
01-226,37.56643378,127.0042996
01-227,37.58181805,127.0025776
