장소코드,유동인구 합
01-003,2895
01-004,13872
01-005,10509
01-008,5316
01-009,5637
01-016,62268
01-019,69288
01-020,77913
01-021,33354
01-028,24594
01-029,137385
01-035,127209
01-037,87855
01-038,71025
01-039,159564
01-043,57864
01-047,32868
01-050,41502
01-052,23067
01-054,162441
01-055,32307
01-057,68061
01-058,73605
01-059,73200
01-060,28650
01-063,25677
01-064,51126
01-066,61428
01-075,18204
01-077,94959
01-079,275511
01-082,105177
01-084,128235
01-1205,9051
01-1206,10533
01-1208,14901
01-1209,4143
01-1211,78372
01-1212,39870
01-1232,65682
01-1234,67950
01-201,14802
01-2026,8214
01-2030,13347
01-204,50904
01-2044,16659
01-2055,33726
01-2078,51915
01-2080,39477
01-2084,13656
01-2086,12429
01-2095,153570
01-2099,47691
01-210,52860
01-2100,42783
01-2104,61656
01-2110,18204
01-2112,21699
01-2115,18669
01-212,193128
01-2124,56754
01-2127,131124
01-213,235824
01-2131,14436
01-233,22422
01-247,36798
01-248,23571
01-276,16497
01-3010,828
01-3023,11241
01-3036,4809
01-3068,6744
01-348,18516
01-362,15003
01-422,236139
01-805,26733
02-001,17370
02-002,20307
02-004,3528
02-008,21771
02-013,49716
02-016,30174
02-017,46092
02-038,19614
02-039,55035
02-043,3969
02-045,58989
02-049,120597
02-052,20550
02-054,16611
02-061,95751
02-062,82122
02-067,162195
02-069,28392
02-070,12456
02-072,16275
02-074,128418
02-084,88356
02-086,19095
02-091,26181
02-093,32232
02-096,91023
02-099,77376
02-105,28050
02-1138,46908
02-1139,74163
02-1142,17775
02-1147,60099
02-1167,37179
02-1168,64776
02-1169,245805
02-1170,268596
02-1182,12033
02-1186,2937
02-1190,12459
02-1214,11205
02-1218,32961
02-1220,32919
02-1221,40524
02-1225,30195
02-1227,28410
02-1230,3963
02-207,102015
02-209,167490
02-211,162828
02-214,152196
02-225,6060
02-236,26091
02-238,46734
02-244,54090
02-247,98754
02-251,471879
02-252,362571
02-253,108582
02-254,128484
02-258,115440
02-260,126723
02-270,74436
02-271,37566
02-284,17919
02-291,21705
