대여소 번호,공원유무,유동인구,조사지점거리,지하철거리,대여소 이름
482,0,32232,4.374197307,0.452,예수소망교회
3515,1,13446,7.723223851,0.333,서울숲 관리사무소
1433,0,33012,8.430374797,0.033,중화역 2번출구
321,0,54090,9.401266068,0.136,KEB 하나금융그룹 명동사옥 옆
458,0,153570,10.92560726,0.028,광화문역 5번출구
575,0,13857,13.30969965,0.361,중앙농협 중곡지점
573,0,13380,14.62199107,0.919,구의문주차장 앞
1357,0,6258,14.7826387,0.054,북한산보국문역
3426,0,28650,17.34556126,0.025,독립문역 2번출구 뒤
640,0,36747,19.94330074,0.261,KEB하나은행 청량리역지점
345,0,9051,19.98765973,0.338,서울보증보험본사 앞
1360,0,7578,23.65142969,0.013,정릉역
508,0,22692,23.90133532,0.111,성수아카데미타워 앞
391,0,74436,24.20944588,0.374,정동길입구
551,0,21771,24.33510593,0.609,구의삼성쉐르빌 앞
307,0,73605,25.76482465,0.446,서울역사박물관 앞
309,0,128235,27.00211474,0.04,광화문역 6번출구 옆
659,0,6849,29.693726,0.007,제기역1번출구
3417,0,14436,30.99438863,0.196,창신3동주민센터
1480,0,2583,31.98578966,0.696, 용마지구대 옆
3545,0,32115,33.33196708,0.024,한양대역 1번출구
523,0,9954,33.49613599,0.469,옥수동성당 옆
467,0,90267,33.53749566,0.385,한국은행
1414,0,32391,33.83833575,0.017,사가정역 1번출구
609,0,9285,34.35148676,0.839,제기2교
305,0,73200,34.5378258,0.121,종로구청 옆
1410,0,7002,35.95776382,0.407,면목 대원칸타빌아파트
835,0,63048,36.93371925,0.095,남영역 건너편
1557,0,10146,37.08316007,1.488,신창교
301,0,23067,37.36950253,0.067,경복궁역 7번출구 앞
540,0,32571,37.46822736,0.102,군자역 7번출구 베스트샵 앞
1393,0,10722,38.13350083,0.721,미아 구름다리
1355,0,2301,38.89937421,0.391,보문2교
514,0,12123,39.04010953,0.536,성수사거리 버스정류장 앞
339,0,51126,39.11315262,0.331,종로4가 사거리
605,0,9639,39.5678808,0.05,신설동역8번출구
3518,0,26370,39.58428806,0.011,군자역 7번출구뒤
446,0,13872,39.60044862,3.132,상명대입구
559,0,46134,41.21043467,0.045,왕십리역 4번 출구 건너편
612,0,4437,42.62334714,0.422,시립동부병원 앞 사거리
641,0,1353,44.08382678,0.06,용두역 4번출구
442,0,199899,44.43713421,0.324,서울역 서부
668,0,13365,44.64483744,0.853,서울축산농협(장안지점)
1568,0,22812,47.88169665,0.219,4.19민주묘지 입구사거리
1340,0,6561,48.7112436,1.074,광운초등학교 앞
380,0,12033,48.72886709,0.163,CJ제일제당 앞
1386,0,6189,49.02836473,0.236,동선고가차도 초입
3415,0,62268,50.20327689,0.034,동대문역6번출구
1416,0,70458,51.44976317,0.043,상봉역 3번출구
1384,0,22305,52.20765716,0.019,성신여대입구역 5번출구
1328,0,16626,52.76360229,0.015,월곡역 3번출구
1305,0,17508,52.81231911,0.46,성북구청
1394,0,9540,53.34808958,0.537,길음뉴타운 래미안9단지
3534,0,59940,53.44464602,0.1,건대입구역 5번출구 뒤
399,0,30174,53.44878424,0.434,서울역 센트럴 자이아파트
1546,0,72090,53.85505816,0.13,송천동우체국
435,0,40524,54.87062958,0.202,SK 남산빌딩
341,0,137385,55.28792322,0.029,혜화역 3번출구 뒤
1534,1,8385,55.5031499,1.454,북서울 꿈의 숲 동문
1362,0,19845,55.74771325,0.012,보문역6번출구 앞
468,0,17775,56.37199283,0.261,웨스틴 조선호텔
335,0,159564,57.2022875,0.02,종로3가역 15번출구 앞
1390,0,9327,57.62919134,0.601,석관래미안아트리치
584,0,27414,57.83585191,0.172,광진광장 교통섬
485,0,82122,58.74181631,0.028,서울역4번출구
3414,0,77913,59.19860047,0.013,종로5가역 4번출구
308,0,26733,59.37006431,0.262,광화문 S타워 앞
864,0,24936,59.37123664,0.74,순천향대학병원(한남오거리)
1437,1,6660,60.50683367,0.925,늘푸른공원 앞
3419,0,24594,61.14354616,0.438,국립어린이과학관
3013,0,37179,63.38442819,0.363,서울지방고용노동청 앞
1518,0,17817,63.49268861,0.187,SK telecom(수유직영점) 앞
471,0,58989,64.33379752,0.202,회현사거리 남측
623,0,21675,64.40479572,0.809,서울시립대 정문 앞
868,0,8019,64.57099999,0.083,롯데하이마트 용산점 앞
351,0,41502,64.85265014,1.036,청운초교 앞 삼거리
1447,0,72699,64.93756204,0.027,면목역 3번출구
455,0,18516,66.60337278,0.226,삼익한의원
3586,0,23295,66.78917541,0.16,군자역 비채온 오피스텔
466,0,46734,67.01306771,0.187,롯데호텔
3407,0,65682,67.34472157,0.113,안국동사거리(신)
352,0,13347,68.27024464,0.714,중앙고입구 삼거리
456,0,69288,68.55207363,0.242,숭인2동 주민센터 입구 (이강3대냉면)
444,0,82122,68.95378103,0.098,서울역3번 출구
846,0,12738,69.68356737,0.804,용산중학교
1702,0,10047,69.87936849,0.033,녹천역 1번출구 앞
358,0,24594,70.23352763,0.285,성대입구 사거리
1520,0,9636,70.86364004,0.395,성실교회
1503,0,51195,70.94637195,0.119,이디야 커피 수유역점 앞
576,0,498,73.20945375,0.04,광나루역 3번 출구
3411,0,71025,73.34557039,0.176,종묘
816,0,46359,73.52262458,0.011,신용산역 6번출구 앞
311,0,60099,73.65162859,0.027,서울광장 옆
331,0,37179,73.89006033,0.206,을지로2가 사거리 북측
381,0,16611,74.11884627,0.053,장충체육관
454,0,87855,74.91174638,0.218,종로2가 버스정류장 (종각방향)
1716,0,30849,75.60472793,0.214,하나로마트 창동점
847,0,10356,75.70032793,0.287, 국방부민원실옆
512,0,17571,78.58810234,0.134,뚝섬역 1번 출구 옆
374,0,21771,78.8983724,0.016,청구역 2번출구 앞
