유동인구(일주일),지하철거리(m),공원유무,합(년),대여,반납,,,유동인구(일주일)/200000*255,지하철 거리 /3000*255,0or255,5000씩 나눠서 분류
32307,1891,1,13303,6827,6476,,,,,,
73605,282,0,19594,10037,9557,,,,,,
23067,67,0,18878,10791,8087,,,,,,
33726,74,0,37961,19821,18140,,,,,,
51915,40,0,26438,13851,12587,,,,,,
73200,35,0,15915,8191,7724,,,,,,
73200,121,0,30845,15364,15481,,,,,,
128235,19,0,20709,11035,9674,,,,,,
73605,446,0,21757,11061,10696,,,,,,
26733,262,0,29921,15307,14614,,,,,,
128235,40,0,16508,8971,7537,,,,,,
153570,116,0,15522,8226,7296,,,,,,
60099,27,0,41951,24296,17655,,,,,,
46908,27,0,37220,18950,18270,,,,,,
32868,629,0,23665,11907,11758,,,,,,
39477,59,0,40499,20640,19859,,,,,,
64776,175,0,11145,5606,5539,,,,,,
54090,33,0,22529,11395,11134,,,,,,
54090,136,0,19528,9991,9537,,,,,,
12456,421,0,12617,6839,5778,,,,,,
90267,281,0,24458,11893,12565,,,,,,
65682,33,0,26998,14873,12125,,,,,,
61656,205,0,24982,12412,12570,,,,,,
275511,278,1,24180,12381,11799,,,,,,
37179,385,0,29845,14755,15090,,,,,,
37179,206,0,19052,9464,9588,,,,,,
16275,156,0,12916,6484,6432,,,,,,
159564,17,0,35613,17343,18270,,,,,,
159564,20,0,24807,12228,12579,,,,,,
88356,154,0,13526,7122,6404,,,,,,
51126,408,0,26885,13748,13137,,,,,,
51126,331,0,21893,11286,10607,,,,,,
52860,265,0,30261,15184,15077,,,,,,
137385,29,0,22706,11705,11001,,,,,,
22422,218,1,43593,21463,22130,,,,,,
4143,645,0,14234,7450,6784,,,,,,
4143,411,0,19759,9956,9803,,,,,,
9051,338,0,21963,11160,10803,,,,,,
26181,180,0,38258,18536,19722,,,,,,
55035,18,1,31489,16467,15022,,,,,,
32307,262,0,14259,8040,6219,,,,,,
23067,336,0,13217,6835,6382,,,,,,
41502,1036,0,13855,7225,6630,,,,,,
13347,714,0,5653,3618,2035,,,,,,
50904,281,0,12841,6547,6294,,,,,,
16659,465,0,16019,8498,7521,,,,,,
33354,508,0,25091,12981,12110,,,,,,
33354,479,0,24029,12343,11686,,,,,,
24594,285,0,55165,27400,27765,,,,,,
33354,842,0,22498,10949,11549,,,,,,
6744,30,0,52025,25526,26499,,,,,,
14922,18,0,31810,15798,16012,,,,,,
14436,7,0,15839,8423,7416,,,,,,
28650,11,0,15509,7715,7794,,,,,,
162441,256,0,19757,9636,10121,,,,,,
61428,417,0,25039,13877,11162,,,,,,
91023,66,0,20092,10822,9270,,,,,,
20550,43,0,14272,7114,7158,,,,,,
21771,16,0,18986,9467,9519,,,,,,
14808,249,1,21469,10512,10957,,,,,,
20307,293,0,29080,14612,14468,,,,,,
32919,17,0,20563,10231,10332,,,,,,
12033,163,0,17253,8903,8350,,,,,,
16611,53,0,2991,1862,1129,,,,,,
14808,53,0,44300,23170,21130,,,,,,
11205,398,0,8754,4410,4344,,,,,,
64776,14,0,28970,14473,14497,,,,,,
18669,768,0,16337,8310,8027,,,,,,
19614,374,1,16235,8536,7699,,,,,,
52860,268,0,16851,8428,8423,,,,,,
88356,13,0,24728,12560,12168,,,,,,
74436,374,0,11811,6242,5569,,,,,,
131124,21,0,34450,17062,17388,,,,,,
71025,336,0,14872,7554,7318,,,,,,
19095,23,0,22838,11484,11354,,,,,,
30174,434,0,6660,3833,2827,,,,,,
19095,204,0,9591,4968,4623,,,,,,
2520,320,0,9455,4838,4617,,,,,,
26091,10,0,25565,12715,12850,,,,,,
3528,675,0,2972,2536,436,,,,,,
40524,202,0,7221,3716,3505,,,,,,
13872,3132,0,9371,4729,4642,,,,,,
41502,954,0,15406,8117,7289,,,,,,
828,1071,0,6914,4130,2784,,,,,,
18516,194,0,12564,6471,6093,,,,,,
77913,910,0,20061,10203,9858,,,,,,
87855,218,0,21219,10667,10552,,,,,,
18516,226,0,10331,5236,5095,,,,,,
69288,242,0,15091,7549,7542,,,,,,
18516,84,0,14350,7220,7130,,,,,,
153570,28,0,24555,12781,11774,,,,,,
23571,124,0,20500,10454,10046,,,,,,
828,1068,0,5922,3006,2916,,,,,,
8214,1325,1,150,105,45,,,,,,
27414,16,1,58493,30096,28397,,,,,,
86214,361,0,26834,14011,12823,,,,,,
10890,1011,0,51074,25252,25822,,,,,,
7854,211,0,73148,36672,36476,,,,,,
6753,610,0,8445,4221,4224,,,,,,
6753,467,0,26376,12860,13516,,,,,,
22692,111,0,21645,11253,10392,,,,,,
13446,195,1,22959,11241,11718,,,,,,
13446,10,1,43301,21461,21840,,,,,,
17571,134,0,50329,25415,24914,,,,,,
12123,536,0,38581,18774,19807,,,,,,
5598,896,0,18773,9310,9463,,,,,,
27414,463,0,23648,11988,11660,,,,,,
55704,290,0,16364,9051,7313,,,,,,
55704,42,0,14825,7707,7118,,,,,,
46134,19,0,34320,17081,17239,,,,,,
9954,469,0,1690,1216,474,,,,,,
32190,313,0,56220,28253,27967,,,,,,
6750,29,0,24001,13074,10927,,,,,,
26436,430,0,8881,3913,4968,,,,,,
28719,865,0,6847,3521,3326,,,,,,
38058,19,0,17053,8282,8771,,,,,,
59670,23,0,17825,9007,8818,,,,,,
13119,509,0,29126,14538,14588,,,,,,
32571,102,0,38093,18988,19105,,,,,,
15831,36,0,36690,18251,18439,,,,,,
15831,111,1,28741,14912,13829,,,,,,
5598,611,0,29180,14478,14702,,,,,,
21771,609,0,45166,22333,22833,,,,,,
15831,275,0,14282,7261,7021,,,,,,
1839,882,0,18806,8938,9868,,,,,,
73830,379,0,28220,14707,13513,,,,,,
46134,45,0,42492,20905,21587,,,,,,
24042,891,0,26762,13207,13555,,,,,,
13446,25,1,26119,13129,12990,,,,,,
13119,559,0,21889,10946,10943,,,,,,
16059,834,0,37232,16595,20637,,,,,,
22692,15,0,52109,27947,24162,,,,,,
